,ave,std,max,min,mad,median,q05,q95,abs_mean,abs_std,abs_max,abs_min,abs_mad,abs_median,abs_q05,abs_q95
0,4.8841133333333335,5.101106130606765,104.0,-98.0,3.2634013568,5.0,-2.0,11.0,5.5765666666666664,4.333324673993449,104.0,0.0,2.8862489235555557,5.0,1.0,12.0
1,4.725766666666667,6.588823781946801,181.0,-154.0,3.574301851111111,5.0,-2.0,12.0,5.734166666666667,5.7327769655813805,181.0,0.0,3.128925288888889,5.0,1.0,12.0
2,4.906393333333333,6.967397033524431,140.0,-106.0,3.9484113621333328,5.0,-3.0,13.0,6.152646666666667,5.895944714483795,140.0,0.0,3.4577265432000006,5.0,1.0,14.0
3,4.90224,6.922305187180113,197.0,-199.0,3.6471170687999996,5.0,-2.0,12.0,5.93396,6.061213600190591,199.0,0.0,3.223349855466666,5.0,1.0,13.0
4,4.90872,7.301110189758817,145.0,-126.0,3.826051623466666,5.0,-2.0,12.0,6.110586666666666,6.32948531386119,145.0,0.0,3.4168357258666666,5.0,1.0,13.0
5,4.913513333333333,5.434111112860393,142.0,-144.0,3.3783878008,5.0,-2.0,12.0,5.695166666666666,4.608383471480033,144.0,0.0,2.9788468555555556,5.0,1.0,12.0
6,4.85566,5.687823395051908,120.0,-78.0,3.5607987837333335,5.0,-2.0,12.0,5.791006666666667,4.732118384640393,120.0,0.0,3.0924211196444444,5.0,1.0,13.0
7,4.505426666666667,5.854511569720713,139.0,-134.0,3.3580427070222227,5.0,-2.0,11.0,5.415,5.025125870324054,139.0,0.0,2.9611431333333336,5.0,1.0,12.0
8,4.717833333333333,7.789643113079984,168.0,-156.0,4.1496539044444445,5.0,-3.0,13.0,6.1522733333333335,6.714604982530446,168.0,0.0,3.6063862758222216,5.0,1.0,14.0
9,4.73096,6.890459152667711,152.0,-126.0,3.8434566570666675,5.0,-3.0,12.0,5.92512,5.895191091682558,152.0,0.0,3.3404406186666677,5.0,1.0,13.0
10,4.582873333333334,6.157271968218513,245.0,-115.0,3.5134824597333334,5.0,-2.0,11.0,5.5501933333333335,5.301887842651288,245.0,0.0,3.0584009471999996,5.0,1.0,12.0
11,4.329933333333333,15.25400019314174,410.0,-478.0,5.489323400888889,4.0,-6.0,14.0,7.110306666666666,14.173079115483914,478.0,0.0,5.067792679644444,5.0,1.0,17.0
12,4.46404,8.660501538997575,224.0,-169.0,4.384206995733333,4.0,-4.0,13.0,6.183853333333333,7.529394125492095,224.0,0.0,3.8366926211555556,5.0,1.0,15.0
